time,open,high,low,close,tick_volume,spread,real_volume
2018-07-01,1253.02,1254.149,1252.785,1253.365,2202,216,0
2018-07-02,1253.329,1253.576,1239.648,1242.103,75367,150,0
2018-07-03,1242.105,1256.819,1237.914,1254.923,76943,150,0
2018-07-04,1254.923,1261.034,1253.985,1256.914,59939,150,0
2018-07-05,1256.908,1259.69,1251.262,1257.276,79228,150,0
2018-07-06,1257.317,1258.7,1252.776,1254.736,70201,150,0
2018-07-08,1255.83,1256.555,1255.637,1256.397,1155,183,0
2018-07-09,1256.377,1265.847,1255.423,1258.36,69082,150,0
2018-07-10,1258.35,1260.294,1247.33,1255.913,75041,150,0
2018-07-11,1255.912,1256.024,1241.507,1242.673,82708,150,0
2018-07-12,1242.671,1248.51,1241.29,1245.993,72577,150,0
2018-07-13,1245.942,1248.029,1236.388,1241.512,71700,150,0
2018-07-15,1241.63,1242.103,1241.064,1241.118,1275,229,0
2018-07-16,1241.118,1245.518,1238.302,1240.685,63113,150,0
2018-07-17,1240.688,1244.927,1226.064,1227.119,74918,150,0
2018-07-18,1227.168,1229.081,1221.047,1227.335,71135,150,0
2018-07-19,1227.334,1228.95,1211.435,1223.425,83248,150,0
2018-07-20,1223.439,1232.205,1215.673,1231.498,82784,150,0
2018-07-22,1231.819,1233.267,1231.5,1232.849,2694,183,0
2018-07-23,1232.845,1235.039,1222.211,1224.211,75551,150,0
2018-07-24,1224.211,1229.421,1218.045,1225.12,76108,150,0
2018-07-25,1225.151,1234.107,1223.213,1233.042,79080,150,0
2018-07-26,1233.06,1235.133,1222.31,1224.085,78515,150,0
2018-07-27,1224.066,1227.256,1217.538,1222.619,68370,150,0
2018-07-29,1223.091,1223.572,1222.006,1222.439,1316,188,0
2018-07-30,1222.455,1225.028,1219.0,1222.479,59635,150,0
2018-07-31,1222.503,1228.45,1214.003,1223.896,74550,150,0
2018-08-01,1223.9,1224.683,1215.741,1217.771,70944,150,0
2018-08-02,1217.796,1221.032,1207.015,1208.352,73887,150,0
2018-08-03,1208.351,1219.955,1204.451,1213.262,67725,150,0
2018-08-05,1213.69,1215.044,1213.516,1214.79,1515,215,0
2018-08-06,1214.789,1217.817,1205.895,1208.687,67281,150,0
2018-08-07,1208.691,1216.098,1207.771,1212.388,63870,150,0
2018-08-08,1212.391,1215.755,1206.202,1213.255,65621,150,0
2018-08-09,1213.266,1217.244,1210.744,1212.093,66880,150,0
2018-08-10,1212.077,1217.055,1205.726,1211.004,78903,150,0
2018-08-12,1212.46,1213.801,1211.927,1212.318,2123,207,0
2018-08-13,1212.291,1212.562,1191.497,1192.799,85309,150,0
2018-08-14,1192.767,1198.65,1192.057,1193.887,71931,150,0
2018-08-15,1193.888,1194.128,1173.089,1173.75,83753,150,0
2018-08-16,1173.75,1181.96,1160.182,1175.328,85975,150,0
2018-08-17,1175.324,1184.952,1171.9,1184.73,75507,150,0
2018-08-19,1183.23,1183.792,1182.915,1183.535,1629,150,0
2018-08-20,1183.519,1191.251,1182.868,1191.173,68372,150,0
2018-08-21,1191.174,1196.942,1187.643,1195.951,75486,150,0
2018-08-22,1195.993,1201.544,1192.58,1195.066,71897,150,0
2018-08-23,1195.049,1195.44,1183.861,1184.487,75375,150,0
2018-08-24,1184.489,1208.517,1183.097,1205.638,72855,150,0
2018-08-26,1206.47,1207.867,1206.054,1207.786,2220,213,0
2018-08-27,1207.746,1212.319,1203.205,1211.015,55572,150,0
2018-08-28,1211.007,1214.24,1199.616,1202.634,74779,150,0
2018-08-29,1202.634,1207.793,1201.376,1207.132,72380,150,0
2018-08-30,1207.153,1207.216,1196.244,1199.87,75936,150,0
2018-08-31,1199.865,1208.789,1198.273,1200.848,77393,150,0
2018-09-02,1199.64,1200.007,1198.719,1199.095,1607,180,0
2018-09-03,1199.094,1203.818,1195.522,1200.751,47175,150,0
2018-09-04,1200.745,1201.964,1189.626,1191.991,76939,150,0
2018-09-05,1191.99,1198.332,1190.904,1197.074,70719,150,0
2018-09-06,1197.082,1206.918,1195.68,1201.112,76268,150,0
2018-09-07,1201.116,1203.478,1193.405,1195.623,76285,150,0
2018-09-09,1195.01,1196.234,1194.902,1196.117,1593,192,0
2018-09-10,1196.089,1198.421,1191.524,1195.008,67383,150,0
2018-09-11,1195.011,1199.343,1187.715,1197.004,67654,150,0
2018-09-12,1197.005,1208.441,1192.586,1206.205,75577,150,0
2018-09-13,1206.2,1212.615,1200.116,1202.073,75522,150,0
2018-09-14,1202.074,1208.504,1192.897,1193.235,69848,150,0
2018-09-16,1194.16,1194.368,1193.014,1193.366,1616,150,0
2018-09-17,1193.364,1204.765,1192.773,1198.369,72802,150,0
2018-09-18,1198.371,1203.473,1195.844,1199.503,75974,150,0
2018-09-19,1199.496,1206.147,1198.211,1203.945,71491,150,0
2018-09-20,1203.942,1208.365,1201.037,1207.354,73370,150,0
2018-09-21,1207.365,1211.006,1191.846,1199.512,75198,150,0
2018-09-23,1197.695,1198.44,1197.033,1197.935,1442,171,0
2018-09-24,1197.932,1204.111,1194.391,1199.281,66963,150,0
2018-09-25,1199.307,1203.269,1197.039,1201.191,66699,150,0
