target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
100.0,0.1,300.0,3,basket,False,4001.014648438286,14001.014648438286,42.373999807858844,225,1219,40.01014648438286
100.0,0.1,300.0,4,basket,False,4001.014648438286,14001.014648438286,42.373999807858844,225,1219,40.01014648438286
100.0,0.1,300.0,2,basket,False,3976.015136719534,13976.015136719534,42.45333340563752,225,1217,39.76015136719534
100.0,0.05,300.0,2,per_order,False,3878.48876953125,13878.48876953125,20.386929399152393,181,1289,38.7848876953125
50.0,0.1,300.0,2,basket,True,3817.9960937504984,13817.996093750498,23.462030799397528,271,948,38.17996093750499
50.0,0.1,300.0,3,basket,True,3817.9960937504984,13817.996093750498,23.462030799397528,271,948,38.17996093750499
50.0,0.1,300.0,4,basket,True,3817.9960937504984,13817.996093750498,23.462030799397528,271,948,38.17996093750499
50.0,0.08,300.0,4,basket,False,3755.99375000054,13755.99375000054,27.45458020528834,293,1197,37.5599375000054
50.0,0.08,300.0,3,basket,False,3755.99375000054,13755.99375000054,27.45458020528834,293,1197,37.5599375000054
50.0,0.08,300.0,2,basket,False,3755.99375000054,13755.99375000054,27.45458020528834,293,1197,37.5599375000054
100.0,0.1,500.0,2,basket,False,3752.9995117194812,13752.999511719481,47.32399366444462,214,1127,37.529995117194815
100.0,0.1,500.0,3,basket,False,3752.9995117194812,13752.999511719481,47.32399366444462,214,1127,37.529995117194815
100.0,0.1,500.0,4,basket,False,3752.9995117194812,13752.999511719481,47.32399366444462,214,1127,37.529995117194815
100.0,0.05,300.0,4,basket,False,3730.9814453125,13730.9814453125,15.410071747395579,150,1302,37.309814453125
100.0,0.05,300.0,3,basket,False,3730.9814453125,13730.9814453125,15.410071747395579,150,1302,37.309814453125
100.0,0.1,400.0,2,basket,False,3707.004394532005,13707.004394532005,43.28658603494997,218,1172,37.070043945320045
100.0,0.1,400.0,4,basket,False,3707.004394532005,13707.004394532005,43.28658603494997,218,1172,37.070043945320045
100.0,0.1,400.0,3,basket,False,3707.004394532005,13707.004394532005,43.28658603494997,218,1172,37.070043945320045
100.0,0.05,400.0,2,per_order,False,3511.49072265625,13511.49072265625,19.07714534848453,172,1250,35.114907226562494
