LotBudget,StepUSD,FreeRollUSD,CashflowUSD,Donchian,TRIX,ProfitUSD,ProfitPct,MaxDD_Pct,ProfitFactor,WinRatePct,Trades,Harvests
0.08,500,80,200,25,True,698.03,14.0,4.8,2.5,18.9,53,5
0.1,1200,100,200,25,True,523.33,10.5,5.8,2.5,11.5,52,4
0.1,500,100,250,25,True,844.33,16.9,6.0,2.49,18.9,53,5
0.1,750,40,250,20,True,678.59,13.6,5.5,2.49,9.1,55,4
0.1,500,80,300,15,True,871.31,17.4,10.2,2.48,17.2,58,4
0.06,1200,60,400,20,True,392.72,7.9,7.9,2.48,15.7,51,1
0.08,500,80,200,15,True,863.6,17.3,5.4,2.47,16.9,59,6
0.08,500,100,200,15,True,863.6,17.3,5.4,2.47,16.9,59,6
0.1,500,80,400,15,True,853.12,17.1,9.9,2.47,17.5,57,3
0.08,500,80,150,20,True,689.81,13.8,3.3,2.47,18.2,55,6
0.06,750,80,300,25,True,558.44,11.2,5.7,2.47,12.0,50,2
0.06,500,60,200,15,True,577.59,11.6,6.7,2.46,17.2,58,4
0.08,1000,40,300,25,True,542.69,10.9,5.7,2.46,17.6,51,2
0.1,500,100,300,15,True,858.28,17.2,10.2,2.45,17.2,58,4
0.1,500,100,400,15,True,840.09,16.8,9.9,2.45,17.5,57,3
0.08,750,80,300,15,True,582.12,11.6,7.5,2.45,15.5,58,3
0.06,500,80,200,20,True,541.39,10.8,5.2,2.45,14.8,54,4
0.06,500,100,200,20,True,541.39,10.8,5.2,2.45,14.8,54,4
0.06,750,100,250,15,True,500.43,10.0,5.9,2.45,12.3,57,3
0.1,300,100,400,20,True,1087.13,21.7,7.3,2.44,17.0,53,4
0.06,500,80,300,25,True,530.22,10.6,6.4,2.44,14.3,49,2
0.06,500,100,300,25,True,530.22,10.6,6.4,2.44,14.3,49,2
0.1,300,80,400,25,True,861.83,17.2,6.2,2.43,21.2,52,3
0.1,1000,60,300,15,True,747.51,15.0,6.8,2.43,13.8,58,4
0.08,500,80,250,15,True,704.36,14.1,8.5,2.43,17.2,58,4
0.08,500,100,250,15,True,704.36,14.1,8.5,2.43,17.2,58,4
0.1,1000,100,150,25,True,591.63,11.8,5.5,2.43,15.4,52,5
0.08,500,40,300,25,True,586.29,11.7,6.7,2.43,15.7,51,3
0.06,750,40,300,20,True,553.45,11.1,5.6,2.43,11.3,53,2
0.06,500,80,200,25,True,517.43,10.3,4.6,2.43,15.7,51,4
0.06,500,100,200,25,True,517.43,10.3,4.6,2.43,15.7,51,4
0.06,750,100,200,15,True,507.48,10.1,4.5,2.43,12.1,58,4
0.06,1000,80,200,25,True,397.94,8.0,5.1,2.43,16.0,50,3
0.06,1000,100,200,25,True,397.94,8.0,5.1,2.43,16.0,50,3
0.06,500,60,150,15,True,661.04,13.2,4.3,2.42,16.9,59,6
0.06,750,80,300,20,True,551.95,11.0,5.6,2.42,11.5,52,2
0.06,1200,60,400,15,True,387.24,7.7,8.0,2.42,14.5,55,1
0.1,300,80,400,15,True,1078.39,21.6,10.0,2.41,17.2,58,4
0.1,300,100,400,15,True,1078.39,21.6,10.0,2.41,17.2,58,4
0.1,750,40,400,20,True,756.6,15.1,8.4,2.41,9.4,53,3
0.1,750,40,150,20,True,698.95,14.0,3.8,2.41,12.5,56,6
0.08,1000,80,250,25,True,479.79,9.6,6.2,2.4,16.0,50,3
