mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,8.0,25.0,12.0,500.0,55,14.545454545454545,225.08499999989544,1.0441925439009627,3873.105000000026,1154.9849999999751
LIMIT,8.0,25.0,12.0,800.0,55,14.545454545454545,419.9999999998781,1.0824615964564834,3678.1900000000433,1349.8999999999578
LIMIT,8.0,25.0,12.0,1000.0,55,10.909090909090908,-1129.1100000000833,0.8027162745837907,5227.300000000006,-199.21000000000458
LIMIT,8.0,25.0,15.0,300.0,55,21.818181818181817,-1200.8150000000787,0.7497068868306831,4023.0999999999926,1004.9900000000084
LIMIT,8.0,25.0,15.0,500.0,55,20.0,-1855.4450000001489,0.6523775978776448,4677.730000000062,350.35999999993874
LIMIT,8.0,25.0,15.0,800.0,55,18.181818181818183,-2159.4550000001227,0.6142128760363756,4981.740000000036,46.34999999996489
LIMIT,8.0,25.0,15.0,1000.0,55,16.363636363636363,-2876.0350000001263,0.5184561651427275,5698.32000000004,-670.2300000000387
LIMIT,8.0,30.0,8.0,300.0,55,16.363636363636363,459.3449999999448,1.099714323548107,2941.1499999999955,2094.670000000007
LIMIT,8.0,30.0,8.0,500.0,55,10.909090909090908,-61.33500000004369,0.987204147412552,3461.8299999999845,1573.990000000018
LIMIT,8.0,30.0,8.0,800.0,55,10.909090909090908,-145.38500000004115,0.9696694378670364,3545.879999999982,1489.9400000000205
LIMIT,8.0,30.0,8.0,1000.0,55,10.909090909090908,-145.38500000004115,0.9696694378670364,3545.879999999982,1489.9400000000205
LIMIT,8.0,30.0,10.0,300.0,55,18.181818181818183,-1818.3350000000373,0.6248573874831006,3507.8500000000013,1520.2399999999998
LIMIT,8.0,30.0,10.0,500.0,55,12.727272727272727,-1076.8500000000759,0.7922658904006383,3987.0149999999994,1041.0750000000016
LIMIT,8.0,30.0,10.0,800.0,55,12.727272727272727,-1246.4550000001227,0.7595475511160518,4156.620000000046,871.4699999999548
